category	answer	question	air_date
THE SOVIET UNION	After this hero's death in 1968, the town of Gzhatsk was renamed in his honor	Yuri Gagarin	1992-09-22
SPORTING EVENTS	In 1911, it took 6 hours, 42 minutes to win this event; in 1991, 2 hours, 50 minutes	the Indianapolis 500	1992-09-23
THE 20th CENTURY	Containing Army surplus food, the first of these arrived in France in 1946 & cost $15 a box to send	care packages	1992-09-24
HOLIDAYS & OBSERVANCES	This holy day may be named for an Anglo-Saxon spring goddess	Easter	1992-09-25
ENTERTAINERS OF THE PAST	"This Missouri-born expatriate starred in the 1935 French film ""Princess Tam-Tam\"""	Josephine Baker	1992-09-28
FAMILIAR PHRASES	In England, it was a place set aside at balls where servants would attend to people's wigs	the powder room	1992-09-29
ORGANIZATIONS	Founded in Michigan in 1936, it's the largest philanthropic organization in the world	the Ford Foundation	1992-09-30
THE CALENDAR	It was the last year that was just two letters long in Roman numerals	1500 (MD)	1992-10-01
HISTORICAL OPERAS	"This queen is a leading character in Donizetti's opera ""Roberto Devereux, Conte d'Essex\"""	Elizabeth I	1992-10-02
LANGUAGES	The 2 languages on the Rosetta Stone	Egyptian & Greek	1992-10-05
THE OSCARS	In 1992 John Singleton replaced this 1941 nominee as the youngest director nominated	Orson Welles	1992-10-06
AMERICANA	The Ryan NYP hanging from a ceiling in Washington, D.C. is better known by this name	the Spirit of St. Louis	1992-10-07
THE SUPREME COURT	He is the only bachelor serving on the Supreme Court	David Souter	1992-10-08
NAMES IN THE NEWS	Famous nickname of the woman who was born Mary Elizabeth Aitcheson	Tipper Gore	1992-10-09
ISLANDS	This U.S. possession was named for its location on the sea route from California to Japan	the Midway Islands	1992-10-12
PRESIDENTS	Before Eisenhower, he was the last president to preside over the admission of a new state	(William Howard) Taft	1992-10-13
RELIGIOUS GROUPS	"\""The War Cry"" & ""The Young Soldier"" are publications of this religious movement"	Salvation Army	1992-10-14
ANIMALS	Legend says this dog is descended from ones shipwrecked on the coast of Maryland in 1807	the Chesapeake (Bay Retriever)	1992-10-15
U.S. GEOGRAPHY	This Southern lake ranks 2nd in size to Lake Michigan among freshwater lakes entirely within the U.S.	Lake Okeechobee	1992-10-16
WORD ORIGINS	The name of this swift current between 2 of the Lofoten Islands off Norway has come to refer any whirlpool	a maelstrom	1992-10-19
MEN OF SCIENCE	"In 1927, a year after his death, his autobiography ""Harvest of the Years"" was published"	Luther Burbank	1992-10-20
CHRONOLOGY	Dionysius Exiguus, a monk in Rome, is credited with inspiring the use of these 2 abbreviations	B.C. & A.D.	1992-10-21
FAMOUS SHIPS	"This research vessel named for a character in the ""Odyssey"" is a former WWII minesweeper"	the Calypso	1992-10-22
BUSINESS BIGGIES	This, the world's largest food company, is based in Vevey, Switzerland	Nestle	1992-10-23
HISTORIC NAMES	"For his licentious behavior, monk Grigori Yefimovich Novykh earned this nickname meaning ""debauched one\"""	Rasputin	1992-10-26
WORD & PHRASE ORIGINS	This phrase meaning the aristocracy is derived from the part of a loaf served to honored guests	the upper crust	1992-10-27
U.S. STATES	This state with several hundred ghost towns was admitted to the Union on Halloween in 1864	Nevada	1992-10-28
U.S. PRESIDENTS	The first two presidents not born in Virginia were born in what is now this state	Massachusetts	1992-10-29
THE SUPREME COURT	The 1973 case Doe v. Bolton was decided with this more famous case	Roe v. Wade	1992-10-30
TELEVISION	This program grew out of evening updates on the Iran hostage crisis hosted by Frank Reynolds	Nightline	1992-11-02
AMERICAN HISTORY	His left arm is buried at Ellwood Farm near Fredericksburg, Virginia	Stonewall Jackson	1992-11-03
INSECTS	Lampyridae is the scientific name of this family of insects	fireflies (lightning bugs)	1992-11-04
EXPLORERS	He died after his ship the St. Peter was wrecked in the Komandorskiye Islands in 1741	Vitus Bering	1992-11-05
OPERETTAS	Sigmund Romberg wrote the music for this 1926 operetta inspired by an Arab revolt in French Morocco	The Desert Song	1992-11-06
GEOGRAPHY	Since the breakup of the Soviet Union, this is the largest country in area in the world	Russia	1992-11-09
MYTHS & LEGENDS	"What the ancient Greek writer Theseus called a ""monokeros"", we call this"	a unicorn	1992-11-10
VICE PRESIDENTS	He served as vice president for the shortest length of time: one month	John Tyler	1992-11-11
POLAND	Laid to rest temporarily at Arlington in 1941, his remains were returned to Poland in 1992	Jan Paderewski	1992-11-12
THE AUTO INDUSTRY	This automaker's trademark symbolizes the 3 places where its engines were used: land, air & water	Mercedes-Benz	1992-11-13
COLLEGES & UNIVERSITIES	"Henry Moore's sculpture, ""Nuclear Energy"", can be seen on the campus of this university"	the University of Chicago	1992-11-16
NEWSPAPERS	It was first published between 1861 and 1865; it was revived in 1918; stopped in 1919, and revived again in 1942	Stars and Stripes	1992-11-17
WORLD DRAMA	Sophocles, Euripides & Eugene O'Neill all wrote plays with this woman's name in their titles	Electra	1992-11-18
POETRY	"William Blake called them ""The Two Contrary States of the Human Soul"" and wrote songs of them"	innocence & experience	1992-11-19
PRESIDENTS' HOMES	The exterior of the governor's mansion in Florida is modeled after the home of this president	Andrew Jackson	1992-11-20
FICTIONAL CHARACTERS	He retired after the only woman he ever loved, opera singer Irene Adler, passed away	Sherlock Holmes	1992-11-23
HISTORIC PAIRS	They were the maternal grandparents of England's Queen Mary I	Ferdinand & Isabella	1992-11-24
STATE CAPITALS	John Tyler, James Monroe & Jefferson Davis are buried in this capital's Hollywood Cemetery	Richmond, Virginia	1992-11-25
THE CABINET	This cabinet department is in charge of printing all postage stamps	Treasury	1992-11-26
ISLANDS	This is the largest island in the Indian Ocean	Madagascar	1992-11-27
MUSICIANS	"On his 1986 death he was called ""arguably the only white jazz player to be the best on his instrument\"""	Benny Goodman	1992-11-30
FAMOUS NAMES	The last of his 56 children, Mabel Sanborn, died in 1950 at age 87	Brigham Young	1992-12-01
ANCIENT POETS	"Plato called her ""The Tenth Muse\"""	Sappho	1992-12-02
PUBLISHING	This publishing company's logo is a dwelling that's been described as half cottage & half mansion	Random House	1992-12-03
LANGUAGES	The official langauge shared by Niger, Rwanda & Senegal	French	1992-12-04
COUNTRIES OF THE WORLD	This island nation has the world's largest Muslim population	Indonesia	1992-12-07
BUSINESS & INDUSTRY	The gasoline brand named for its founder & a famous highway	Phillips 66	1992-12-08
BALLET	The elaborate prologue of this 1890 ballet features a christening & a curse	Sleeping Beauty	1992-12-09
VICE PRESIDENTS	"He wrote 2 books inspired by his career: ""The Canfield Decision"" & ""Go Quietly... or Else\"""	(Spiro) Agnew	1992-12-10
TRANSPORTATION	Last names of the motor car maker & motor car dealer who merged in Manchester, England in 1906	Rolls & Royce	1992-12-11
ROMAN EMPERORS	In 54 A.D., as the result of his mother's scheming, he became the first teenage emperor of Rome at age 16	Nero	1992-12-14
ANATOMY	You have this bone, snakes don't, & in bats, it's keeled	a breastbone (or sternum)	1992-12-15
U.S. LAKES	Wizard Island sits in this lake in what was once Mount Mazama	Crater Lake	1992-12-16
THE ELEMENTS	Alphabetically the first among gases, it's the third most abundant gas in the air	argon	1992-12-17
HISTORIC NAMES	This prominent European family took its name from a red shield painted on an ancestral home	the Rothschilds	1992-12-18
COLLEGES & UNIVERSITIES	Founded by a Philadelphia Baptist in 1884 as an evening college, it became a university in 1907	Temple	1992-12-21
THE OLYMPICS	In 1988 she became the first Black American to win a Winter Olympic medal	Debi Thomas	1992-12-22
BOTANY	The genus of this herb used in crop rotation & to feed livestock is Trifolium	clover	1992-12-23
AUTHORS' BIRTHPLACES	Author DuBose Heyward was born in this city & set his most famous work on its waterfront	Charleston	1992-12-24
WORLD LEADERS	"At age 25 in 1908, this future European leader wrote his only novel, ""The Cardinal's Mistress\"""	Benito Mussolini	1992-12-25
LANGUAGES	"Swahili contains many words borrowed from this language, including the word ""Swahili\"""	Arabic	1992-12-28
QUOTES	"The author who wrote, ""Let me tell you about the very rich. They are different from you and me.\"""	F. Scott Fitzgerald	1992-12-29
FAMOUS NAMES	Volume 1 of the New Book of Knowledge Ency. has an article on this man written by Danny Kaye	Hans Christian Andersen	1992-12-30
GOVERNORS	This governor sent in the militia after the 1919 Boston police strike was under control	(Calvin) Coolidge	1992-12-31
FOREIGN CARS	"August Horch named this car by translating his last name, which means ""listen"", to a Latin equivalent"	Audi	1993-01-01
FOOTBALL	3 of the 4 California cities in which the Super Bowl has been played	(3 of) L.A., Pasadena, San Diego & Palo Alto	1993-01-04
CABLE TELEVISION	This TV evangelist's son Tim is president & CEO of the Family Channel	Pat Robertson	1993-01-05
PLANTS & TREES	Botany Bay kino, a resin used to protect wood from worms, is derived from this type of tree	eucalyptus	1993-01-06
19th CENTURY AUTHORS	In 1863 he published his rules for castle croquet, which he played with the Liddell Sisters	Lewis Carroll	1993-01-07
THE REVOLUTIONARY WAR	"A letter from Ben Franklin introduced him as ""a lieut. genl. in the King of Prussia's service\"""	Friedrich Wilhelm von Steuben	1993-01-08
SHAKESPEARE	The 2 leading female characters in this play are the marriageable Minola sisters	The Taming of the Shrew	1993-01-11
NAMES IN THE NEWS	He was born William Jefferson Blythe IV on August 19, 1946	Bill Clinton	1993-01-12
FAMOUS STRUCTURES	Prior to the completion of the Eiffel Tower, this U.S. structure was the world's tallest	the Washington Monument	1993-01-13
MOVIE ROLES	Ed Wynn & W.C. Fields turned down the title role in this 1939 film	The Wizard of Oz	1993-01-14
WOMEN	In 1971 she was honored by Pope Paul VI with the first Pope John XXIII Peace Prize	Mother Teresa	1993-01-15
NATIONAL PARKS	The original entrance to this southwest U.S. park was via a miner's bucket lowered almost 200 feet	Carlsbad Caverns	1993-01-18
POLITICAL LEADERS	"His books ""No Easy Walk to Freedom"" & ""The Struggle Is My Life"" were published during his imprisonment"	Nelson Mandela	1993-01-19
PLANTS & FLOWERS	Common name of the plants that make up the genus Helianthus	the sunflower	1993-01-20
U.S. PRESIDENTS	Excluding FDR, 1 of the 4 presidents since the Civil War to have had more than 1 vice president	(1 of) Richard Nixon, Grover Cleveland, Ulysses Grant & William McKinley	1993-01-22
IN THE NEWS	In 1992 it missed its 1st Monday Night Football opener in 23 yrs.; it was in Miami transmitting relief messages	the Goodyear Blimp	1993-01-25
ODD JOBS	It was the profession of Lou Jacobs, the model for a 1966 postage stamp, who died in Sarasota in 1992	a clown	1993-01-26
U.S. CITIES	"The name of this California college town is Spanish for ""tall tree\"""	Palo Alto	1993-01-27
WORLD BUSINESS	In April 1992 McDonald's opened its biggest restaurant ever in this world capital	Beijing	1993-01-28
BRITISH MONARCHS	1 of 4 British monarchs whose reigns were longer than Elizabeth I's 45 years	(1 of) Victoria, Henry III, Edward III, & George III	1993-01-29
ORGANIZATIONS	"This service organization's name comes from American Indian dialect meaning ""we make ourselves known\"""	Kiwanis International	1993-02-01
HISTORIC NAMES	A U.S. naval squadron brought back his remains from France in 1905, 113 years after his death	John Paul Jones	1993-02-02
SPORTS	He's the only man voted NBA MVP under 2 completely different names	Lew Alcindor (Kareem Abdul-Jabbar)	1993-02-03
OSCAR-WINNING FILMS	A series of articles about corruption in the longshoremen's union inspired this 1954 film	On the Waterfront	1993-02-04
OPERA	"This 20th century opera was inspired by Hieronymus Bosch's painting ""The Adoration of the Magi\"""	Amahl and the Night Visitors	1993-02-05
FICTIONAL CHARACTERS	Abandoned as a child in Liverpool, he was raised by the Earnshaw family	Heathcliff	1993-02-08
ORGANIZATIONS	The symbol of this organization is a lighted candle with barbed wire surrounding it	Amnesty International	1993-02-09
NEWSPAPERS	"It was once advertised as ""The Daily Diary of the American Dream\"""	The Wall Street Journal	1993-02-10
SUPREME COURT JUSTICES	His father, Eugene, an immigrant from Sicily, taught romance languages at Brooklyn College	Antonin Scalia	1993-02-11
FASHION HISTORY	Listing the great men of the 19th century, Lord Byron ranked himself 3rd, Napoleon 2nd & this man 1st	Beau Brummel	1993-02-12
FLAGS	A flag bearing a white anchor & caduceus on a blue field represents this U.S. government official	Surgeon General of the United States	1993-02-15
EUROPE	2 of the 5 mainland European nations that touch only 1 other country	(2 of) Portugal, Denmark, San Marino, Vatican City & Monaco	1993-02-16
IN THE NEWS	Tennessee governor Ned McWherter chose Harlan Mathews to fill this man's Senate seat until 1994	Al Gore	1993-02-17
TELEVISION HISTORY	When this service hit the air August 1, 1981, the first act it presented was The Buggles	MTV	1993-02-18
NEW ENGLAND	In Washington, D.C.'s Statuary Hall, the state of Vermont is represented by this patriot	Ethan Allen	1993-02-19
MILITARY LEADERS	This U.S. general was born April 5, 1937 to parents who had emigrated from Jamaica	Colin Powell	1993-02-22
AMERICAN HISTORY	Of the 9 tried for this 1770 event, 7 were acquitted & 2 charged with manslaughter, branded & let go	the Boston Massacre	1993-02-23
GEMS	The Star of Africa is a diamond & the Star of India is one of these	a sapphire	1993-02-24
19th CENTURY AMERICA	The execution of this man & his followers in 1859 is believed to be the only one for treason against a state	John Brown	1993-02-25
